StudentID,AttendanceDaysPossible,AbsentDays,UnexcusedAbsentDays,ExcusedAbsentDays,SegmentAttendanceRate
6402582,2,0,0,0,1
6402582,13,0,0,0,1
3262783,,,,,
3262783,158,2,0,2,0.987
3249795,,,,,
3249795,31,0,0,0,1
3249795,,,,,
3249795,31,0,0,0,1
3015410,177,2,1,1,0.989
3275447,174,33,20,13,0.81
3377413,177,1,0,1,0.994
7586218,180,0,0,0,1
6329583,177,1,0,1,0.994
3304795,177,7,3,4,0.96
6454444,177,25,22,3,0.859
7492159,177,15.5,4.5,11,0.912
3225447,45,2,2,0,0.956
3225447,129,10,0,10,0.922
6614786,178,54.67,31.5,23.17,0.693
6614786,,,,,
3089757,177,1,1,0,0.994
6302593,177,4,2,2,0.977
7933559,179,3.5,2.5,1,0.98
7594222,180,17.17,2.17,15,0.905
3628786,175,0,0,0,1
7418100,180,17.67,2,15.67,0.902
6716745,180,4.83,1.33,3.5,0.973
7069330,180,33.11,4.77,28.33,0.816
6254725,180,2.5,0.67,1.83,0.986
6906462,177,0,0,0,1
3540417,180,0,0,0,1
6565750,177,8,0,8,0.955
7925664,180,25.7,18.2,7.5,0.857
3141797,177,14,2,12,0.921
3362447,,,,,
3362447,151,19.17,5.33,13.83,0.873
3362447,3,0,0,0,1
3362447,,,,,
3891782,177,2,1,1,0.989
7683622,180,4,1,3,0.978
7028813,180,2.5,0.5,2,0.986
3362713,177,2,0,2,0.989
6000715,180,9,3.5,5.5,0.95
7269030,,,,,
7269030,180,28.75,23.75,5,0.84
7916654,180,19.83,17.33,2.5,0.89
7385965,180,4.17,2.17,2,0.977
3905749,180,53.2,14.2,39,0.704
3062790,174,0,0,0,1
3062790,3,0,0,0,1
7088971,180,19,0,19,0.894
3437733,177,0,0,0,1
6355717,180,20.33,16.33,4,0.887
7624122,177,38.5,14.83,23.67,0.782
3244718,177,4,2,2,0.977
6177535,177,0,0,0,1
7730681,1,0,0,0,1
7730681,,,,,
7730681,70,10.67,9.5,1.17,0.848
6075475,177,3,0,3,0.983
7499818,180,0.33,0.33,0,0.998
3426712,177,6,0,6,0.966
7830351,180,8.83,1.17,7.67,0.951
7365382,180,0.67,0.67,0,0.996
3156745,177,0,0,0,1
6981729,180,7.67,5,2.67,0.957
3581757,177,3,0,3,0.983
3452416,174,2,0,2,0.989
3452416,3,0,0,0,1
7111956,180,13.5,10,3.5,0.925
6665742,177,2,0,2,0.989
3720411,165,0,0,0,1
3720411,12,0,0,0,1
6618789,180,48.37,39.37,9,0.731
6246791,177,0,0,0,1
7622145,180,12.33,12,0.33,0.932
6491407,177,6,0,6,0.966
3933447,,,,,
3933447,180,33,30,3,0.817
3582788,177,0,0,0,1
3003751,177,3,1,2,0.983
7799884,180,1,0,1,0.994
7111837,180,2.83,2.83,0,0.984
6604474,177,4.5,2.5,2,0.975
6243701,177,2,0,2,0.989
7122183,,,,,
7122183,180,2.5,2.5,0,0.986
3651737,173,3.5,0,3.5,0.98
3651737,4,0,0,0,1
3933419,177,14,0,14,0.921
3956758,174,7,1,6,0.96
3956758,3,0,0,0,1
6199743,180,1.83,1.83,0,0.99
6011748,,,,,
6011748,180,25.58,17.33,8.25,0.858
3144745,177,0,0,0,1
6249446,177,14.5,10,4.5,0.918
3479715,,,,,
3479715,51,0,0,0,1
3904795,177,4,1,3,0.977
7409305,,,,,
7409305,173,7.42,7.08,0.33,0.957
6421484,171,0,0,0,1
6421484,6,0,0,0,1
3582442,174,4,0,4,0.977
3582442,3,0,0,0,1
3649413,177,14,3,11,0.921
3334418,174,22.5,1.5,21,0.871
3334418,3,0,0,0,1
6313482,177,0,0,0,1
7465112,180,33.33,5,28.33,0.815
3968410,177,9,0,9,0.949
7873352,180,52.63,25.53,27.1,0.708
3919753,177,15,1,14,0.915
6318781,177,5,0,5,0.972
